Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3601,3403.6,3189.4,3042.3,2542.5,3334.8,3141,2580.7,1164.9,2377.3,2676.6
Operating Expenses Qtr Cr,3094.9,2875.6,2751.7,2560.4,2136.9,2598.6,2671.6,2191.1,1093.6,1895.5,2216.4
Operating Profit Qtr Cr,449.5,435.4,357.4,357.5,306.6,619.1,358.1,288.1,-102.1,341.4,320.2
Operating Profit Margin Qtr %,12.68%,13.15%,11.49%,12.25%,12.55%,19.24%,11.82%,11.62%,-10.30%,15.26%,12.62%
Depreciation Qtr Cr,64.8,89.2,85.1,82.9,67.1,92.1,96.9,79.6,72.8,115.8,109.8
Interest Qtr Cr,3.6,7.3,16.9,1.5,3.2,4.1,6.8,1.3,1.8,4.9,2.9
Profit Before Tax Qtr Cr,437.7,431.5,335.8,397.5,335.3,640,219,-91.4,-200.5,64.1,140
Tax Qtr Cr,103.5,80.9,100.9,25.5,75.5,158,33.2,-26.6,-80.1,-17,20.6
Net Profit Qtr Cr,334.2,350.6,234.8,371.9,259.8,482,185.8,-64.8,-120.5,81.1,190.3
Basic EPS Qtr Rs,113.3,118.9,79.6,126.1,88.1,163.4,63,-22,-40.8,27.5,64.5
