Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,92.3,92.6,93.9,90,88,102.8,84.1,83.9,116.1,127.4,124
Operating Expenses Qtr Cr,91.3,92,93.3,89.5,85.5,97.4,81.8,81.7,113.6,120.6,106.2
Operating Profit Qtr Cr,4.2,2,0.6,0.4,3.5,-13.5,1.8,0.8,2.5,3.6,6
Operating Profit Margin Qtr %,4.35%,2.16%,0.64%,0.44%,3.94%,-16.13%,2.11%,0.98%,2.17%,2.88%,5.33%
Depreciation Qtr Cr,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2
Interest Qtr Cr,0.1,0.1,0.1,0.1,0,-4.9,1.6,1.7,1.6,1.6,0.3
Profit Before Tax Qtr Cr,0.8,0.5,0.4,0.4,2.5,10.3,0.6,0.5,0.8,5,17.3
Tax Qtr Cr,0.3,0.4,0.2,0.2,1.4,2.7,0.6,0.3,0.3,-0.2,-0.2
Net Profit Qtr Cr,0.6,0.1,0.3,0.2,1.1,7.5,0,0.2,0.5,5.2,17.5
Basic EPS Qtr Rs,0,0,0,0,0,0.1,0,0,0,0.1,0.4
