Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,399.9,347.8,350.6,324.7,320.6,393.2,254.5,268.3,230.2,335.8,325.3
Operating Expenses Qtr Cr,277.6,224.5,233.6,216.2,193.2,181.4,184.6,183.7,169.3,209.2,239.5
Operating Profit Qtr Cr,52,63,49.1,55.7,59.1,64.5,50.9,44.6,44.8,89.8,68.5
Operating Profit Margin Qtr %,15.77%,21.92%,17.39%,20.49%,23.44%,26.23%,21.60%,19.54%,20.93%,30.03%,22.24%
Depreciation Qtr Cr,12.8,13,13,12.7,13.5,13.8,17.7,15.5,16.1,18.3,6.3
Interest Qtr Cr,1.1,1.2,0.1,1.8,1.9,1.9,1.7,1.7,1.8,2.2,0
Profit Before Tax Qtr Cr,108.5,109.1,149.7,94.1,112.1,196.1,50.6,67.4,43,106,79.5
Tax Qtr Cr,15.8,21.8,26.4,15.2,18.4,14.9,10.4,17.2,11.4,24.9,25.4
Net Profit Qtr Cr,92.7,87.3,123.3,78.8,93.6,181.3,-63.6,80,69.3,81.1,54.1
Basic EPS Qtr Rs,12.7,12,16.9,10.8,12.9,25,-8.8,11,9.6,11.2,7.5
