Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,590.8,583.2,579.8,555.6,571.5,609.5,599.2,567.5,496.9,475.5,439.3
Operating Expenses Qtr Cr,210.8,225.4,207.9,188.8,164.2,259.1,185.4,154,130.4,137.1,135.8
Operating Profit Qtr Cr,99.9,78.5,95.4,89.6,103.5,16.6,65.7,75.2,54.8,20.4,19.4
Operating Profit Margin Qtr %,18.63%,15.10%,18.08%,18.07%,20.90%,3.35%,13.62%,16.01%,12.97%,5.25%,4.99%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,225.2,215.7,224.3,217.5,227.5,221.4,231.4,240.7,237.3,231.4,233.4
Profit Before Tax Qtr Cr,153,176.2,198.1,158.4,81.5,58,70.9,92.1,71.6,22.7,42.4
Tax Qtr Cr,38.5,45.5,49.9,39.9,20.5,15.1,17.8,23.2,18,82.3,14.3
Net Profit Qtr Cr,114.5,130.7,148.2,118.6,61,42.9,53,68.9,53.6,-59.7,28.1
Basic EPS Qtr Rs,6.6,7.5,8.6,6.8,3.5,2.5,3.1,4,3.1,-3.4,1.6
