Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021
Total Revenue Qtr cr,369.5,392.7,463.8,303.8,156.7,309.6
Operating Expenses Qtr Cr,332.5,346.5,413.9,274.7,149,270.2
Operating Profit Qtr Cr,36.5,45.9,48.7,29.4,6.5,39.1
Operating Profit Margin Qtr %,9.88%,11.71%,10.52%,9.67%,4.19%,12.64%
Depreciation Qtr Cr,14,14.8,13.2,12.2,10.4,10.1
Interest Qtr Cr,5.5,4.9,4.6,4.6,4,3.5
Profit Before Tax Qtr Cr,17.5,26.5,32.2,12.3,-6.7,25.8
Tax Qtr Cr,6.5,10.4,8.6,4.2,-2.4,34.4
Net Profit Qtr Cr,11.1,16.1,23.5,8.1,-4.4,-8.7
Basic EPS Qtr Rs,0.4,0.5,0.8,0.3,-0.1,-0.3
