Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1255.4,1250.7,1103,1081.6,902.9,1153,950.5,894.8,505.8,707.8,1028
Operating Expenses Qtr Cr,955.6,918.5,824.7,810.7,692.1,798.6,677.6,594.9,395.3,515,670.6
Operating Profit Qtr Cr,286.1,317.2,265.9,262.5,197.5,340.1,257.6,288.2,95.3,173,341.2
Operating Profit Margin Qtr %,23.04%,25.67%,24.38%,24.46%,22.20%,29.87%,27.54%,32.64%,19.43%,25.15%,33.72%
Depreciation Qtr Cr,19.6,20.2,20.9,20.4,19.9,21.5,22.3,21.5,20.6,22.2,18.3
Interest Qtr Cr,0.5,0.7,0.5,0.6,0.7,0.6,0.8,0.9,1.4,1.1,0.3
Profit Before Tax Qtr Cr,279.7,311.3,256.9,249.9,190.2,332.3,249.8,277.5,88.5,169.5,338.8
Tax Qtr Cr,73.5,82.9,68.3,64,50.2,88.7,62.1,72.9,23.1,44.3,67.5
Net Profit Qtr Cr,206.3,228.4,188.6,185.9,140,243.6,187.7,204.6,65.4,125.2,271.3
Basic EPS Qtr Rs,2.1,2.3,1.9,1.9,1.4,2.5,1.9,2.1,0.7,1.3,2.7
