Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1317,1252.9,1195.2,1224.9,1193.1,1121.4,1277.8,1230.3,1209.9,1221,1203.2
Operating Expenses Qtr Cr,295.3,263.8,280.4,275.9,260.2,288.9,260.4,259.8,241.5,263.7,261.2
Operating Profit Qtr Cr,229.6,236.9,209.6,202.3,187.4,139.6,228.7,215.3,195.4,155.8,166.1
Operating Profit Margin Qtr %,20.88%,22.56%,20.25%,19.80%,18.79%,14.30%,21.82%,20.30%,18.63%,14.95%,15.65%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,574.5,549.3,545.3,543.9,549.8,547.8,559,585.8,612.4,622.2,633.6
Profit Before Tax Qtr Cr,295.1,269,246.1,257.1,213,46.2,239.9,207.7,199,-115.3,227.4
Tax Qtr Cr,70,60,50,75,40,-65,70,50,45,-20,35
Net Profit Qtr Cr,225.1,209,196.1,182.1,173,111.2,169.9,157.7,154,-95.3,192.4
Basic EPS Qtr Rs,3,2.8,2.6,2.5,2.3,1.5,2.3,2.1,2.1,-1.3,2.6
