Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,497.2,1324.2,1017.3,738.5,376.4,1149.4,764,702.7,397.1,861.7,951
Operating Expenses Qtr Cr,405.8,912.2,810.8,529.9,306.6,821.4,430.7,509.1,311.1,653.7,692
Operating Profit Qtr Cr,33.9,299.2,142.1,166.3,22.9,259,318,125.8,17,163,198.4
Operating Profit Margin Qtr %,7.71%,24.70%,14.91%,23.89%,6.94%,23.97%,42.47%,19.14%,5.13%,19.96%,22.14%
Depreciation Qtr Cr,14.2,14.1,14.1,14,13.8,13.6,13.8,13.7,12.1,12.2,12.4
Interest Qtr Cr,11.8,11.6,11.6,11.6,11.6,16.2,11.5,11.4,11.4,11.1,11.2
Profit Before Tax Qtr Cr,65.4,386.3,180.7,182.9,44.5,298.3,308,146.1,58.2,184.7,229.7
Tax Qtr Cr,16.5,102.2,46.3,47.1,12.2,68.7,78.5,37.7,15.6,45.9,58.6
Net Profit Qtr Cr,48.9,284.1,134.4,135.8,32.3,229.6,229.5,108.4,42.6,138.8,171.1
Basic EPS Qtr Rs,3.7,21.6,10.2,10.3,2.5,17.5,17.4,8.2,3.2,10.6,13
