Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,621.3,693.9,576.7,510.3,511.1,608.9,440.1,471.4,510.7,461,453.6
Operating Expenses Qtr Cr,143.1,138.7,132.2,132.9,111.7,116.7,108,103.5,95.6,117.8,156.7
Operating Profit Qtr Cr,411.3,426.7,369.7,285.9,242.1,290.1,89.3,301.9,275.5,202.4,295.4
Operating Profit Margin Qtr %,66.26%,61.51%,64.21%,56.07%,47.47%,47.79%,20.31%,64.14%,54.02%,43.92%,65.34%
Depreciation Qtr Cr,6.8,7.3,6.3,6.5,6.1,6.6,5.3,6.1,5.5,5.1,5.1
Interest Qtr Cr,225.6,216.5,192.5,182.8,196.3,186,179.9,191.7,185.1,167.6,145.9
Profit Before Tax Qtr Cr,179.3,203,171.8,97.1,40.7,99.4,-95.4,104.8,85.5,29.8,145.9
Tax Qtr Cr,46.8,51.6,42.6,25.1,11.1,27.1,-23.8,26.6,21.9,7,37.9
Net Profit Qtr Cr,132.6,151.4,129.2,72,29.6,72.3,-71.6,78.2,63.6,22.8,108
Basic EPS Qtr Rs,8.5,9.7,8.3,4.6,1.9,4.7,-4.6,5.4,4.4,1.6,7.5
