Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1618.6,1550.1,1423.9,1413.2,1065.8,1535.6,1343,1215,731.9,1030,1088.7
Operating Expenses Qtr Cr,1414.4,1309.7,1208.5,1170.7,923.4,1290.4,1128,1012.5,614.4,879.6,934.4
Operating Profit Qtr Cr,193.7,222.3,201.6,214.1,122.8,224.8,195.2,185.9,98.8,138.4,136.9
Operating Profit Margin Qtr %,12.04%,14.51%,14.30%,15.46%,11.74%,14.84%,14.75%,15.51%,13.86%,13.60%,12.78%
Depreciation Qtr Cr,12.3,14.5,10.2,10.1,7.6,7.2,6.9,7.7,8,8.2,6.4
Interest Qtr Cr,20.6,10.6,6.7,8,10.1,10.4,10.6,11.1,10.8,8.2,8.7
Profit Before Tax Qtr Cr,171.3,215.3,198.6,224.5,124.8,227.6,197.6,183.7,98.8,133.9,139.1
Tax Qtr Cr,43.7,33.5,50.4,54,31.7,-18.9,50.2,46.6,25.1,34.1,-21.9
Net Profit Qtr Cr,127.5,181.8,148.1,170.5,93.1,246.5,147.4,137.1,73.7,99.8,161
Basic EPS Qtr Rs,2,2.9,2.4,2.7,1.5,3.9,2.4,2.2,1.2,1.6,2.6
