Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1007.1,1134.5,1119.7,1336.4,949,1407.4,1303.2,1333,385.8,1005.4,664.2
Operating Expenses Qtr Cr,586,626,575.5,528.7,454.7,734.5,719.3,633.2,257.7,671.3,393.9
Operating Profit Qtr Cr,383.4,443.2,480.8,433.2,415.6,580.4,519.7,436.3,12.3,213.4,57.4
Operating Profit Margin Qtr %,39.55%,41.45%,45.52%,45.04%,47.76%,44.14%,41.95%,40.79%,4.56%,24.12%,12.71%
Depreciation Qtr Cr,19,18.9,19.4,19.3,19.1,20.7,20,20.9,21.1,33.1,21.8
Interest Qtr Cr,76.1,91,99.6,121.1,115.7,120.1,124.5,151.6,160.2,151.9,144.1
Profit Before Tax Qtr Cr,326,398.7,190,667.3,359.5,532.2,439.4,482,-53.3,51.5,645.5
Tax Qtr Cr,81.9,98.7,47.9,88.2,89.8,120.6,133,84,-13.3,1128.4,43.8
Net Profit Qtr Cr,244.2,300.1,142.1,579.1,269.7,411.6,306.4,397.9,-40,-1077,601.7
Basic EPS Qtr Rs,1,1.2,0.6,2.3,1.1,1.7,1.2,1.6,-0.2,-4.3,2.4
