Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,739.5,758.8,699.4,551.1,570.7,528.5,490.9,447.7,355.3,526,586.8
Operating Expenses Qtr Cr,590.8,545.3,530.6,402.9,385.1,370,341.6,308.4,252.8,341.1,371.4
Operating Profit Qtr Cr,139.2,204.9,158.6,141.5,142.2,155.7,146.1,136.9,97.6,184.2,213.5
Operating Profit Margin Qtr %,19.07%,27.32%,23.01%,25.99%,26.96%,29.61%,29.96%,30.75%,27.86%,35.07%,36.50%
Depreciation Qtr Cr,17.9,18.7,18.5,17.8,17.5,21.1,17.1,14.4,14.3,20.7,19.9
Interest Qtr Cr,0.3,0.5,0.4,0.4,0.3,0.2,0.4,0.6,2.9,4.5,4.4
Profit Before Tax Qtr Cr,130.5,194.3,149.9,130,167.8,137.2,131.8,124.4,85.3,159.7,191.1
Tax Qtr Cr,33.4,51.6,37.9,33.4,32.9,36,33.8,32.3,21.7,43.5,49.2
Net Profit Qtr Cr,97.1,142.7,112,96.5,134.9,101.1,97.9,92.1,63.6,116.3,141.9
Basic EPS Qtr Rs,7.1,10.5,8.2,7.1,9.9,7.4,7.2,6.8,4.7,8.5,10.4
