Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,458.1,427.8,433.8,485.7,578.4,417.2,441.7,416.8,266.1,301.5,323.7
Operating Expenses Qtr Cr,329.9,310.1,323,337.4,392,290.7,296.1,288.6,207.7,231.7,234
Operating Profit Qtr Cr,109.4,104.8,99.5,133,172.9,113.4,131,115.7,47.3,55.8,76.4
Operating Profit Margin Qtr %,24.90%,25.26%,23.55%,28.27%,30.61%,28.06%,30.67%,28.62%,18.55%,19.41%,24.61%
Depreciation Qtr Cr,18.8,21.5,18.9,18.1,16.8,17.9,17.8,17.7,16.4,18.5,17.4
Interest Qtr Cr,7.7,11.1,8.7,4.3,4.4,3.9,3.7,3.7,3.5,3.7,3.7
Profit Before Tax Qtr Cr,101.7,85.1,83.2,125.9,165.2,104.7,124.1,106.8,38.5,47.6,68.6
Tax Qtr Cr,22.1,19.9,21.5,32,41.9,26,31.4,26.9,9.7,12.3,17.5
Net Profit Qtr Cr,79.6,65.2,61.7,93.9,123.3,78.7,92.7,79.9,28.8,35.3,51.1
Basic EPS Qtr Rs,9.6,7.9,7.5,11.4,14.9,9.5,11.2,9.7,3.5,4.3,6.2
