Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,357,278.9,324.3,217.3,90.2,198.2,167.5,69.5,38.4,367.5,449.1
Operating Expenses Qtr Cr,263.2,244.4,246,214,176.5,184.6,158.7,145.2,148.9,241.9,302.9
Operating Profit Qtr Cr,79.2,21.2,68.3,-12.4,-97.1,-26.7,-27.3,-95.2,-125.4,68.4,119
Operating Profit Margin Qtr %,23.14%,7.98%,21.74%,-6.16%,-122.45%,-14.22%,-17.53%,-157.46%,-440.46%,19.50%,28.21%
Depreciation Qtr Cr,28.9,29.4,28.5,28.4,28.5,28.4,29.7,30.9,30.9,32.5,34.1
Interest Qtr Cr,8.2,9.1,8.5,8.4,7.8,7.5,9.7,12.2,11.1,11.3,13.2
Profit Before Tax Qtr Cr,56.7,9.2,41.4,-61,-122.5,-81,-55.1,-149.5,-157.4,25,98.9
Tax Qtr Cr,14.3,16.5,8.8,-10.6,-29.5,-12.9,-13.5,-34.2,-39.2,9.4,23.9
Net Profit Qtr Cr,42.4,-7.3,32.6,-50.4,-93.1,-68.1,-41.5,-115.3,-118.2,15.6,75
Basic EPS Qtr Rs,0.7,-0.1,0.5,-0.8,-1.5,-1.1,-0.7,-2,-2.1,0.3,1.3
