Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1032.8,1206.8,991.5,1030.7,690.9,937.4,849,659.2,399.6,710.1,728.9
Operating Expenses Qtr Cr,902,1070.3,864.2,813.4,605,790,723.6,557,342.6,564.3,610
Operating Profit Qtr Cr,113.7,116.6,108.7,119.6,70.3,131.3,106.6,82.4,34.5,87.1,92.4
Operating Profit Margin Qtr %,11.19%,9.82%,11.17%,12.82%,10.41%,14.25%,12.84%,12.88%,9.16%,13.37%,13.15%
Depreciation Qtr Cr,9.4,9,10.1,9.9,9.9,10.7,8.5,9.8,10,9.6,9.6
Interest Qtr Cr,0.1,1.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7,0.4
Profit Before Tax Qtr Cr,121.3,126.4,117.2,207.2,75.8,136.4,116.7,92.2,46.8,135.5,108.9
Tax Qtr Cr,25.8,21.8,21.9,57.5,20.8,40.4,34,23.1,11.8,18.3,28.3
Net Profit Qtr Cr,95.6,104.6,95.2,149.7,55.1,96.1,82.8,69.1,35,117.2,80.6
Basic EPS Qtr Rs,6.2,6.8,6.2,9.8,3.6,6.3,5.4,4.5,2.3,7.7,5.3
