Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,278.8,242.4,263,254.3,237,222.2,240.9,207.6,154.1,224.1,232
Operating Expenses Qtr Cr,215.2,190.9,189.6,188,178.7,198.3,157.3,138.2,111.2,159.6,160.7
Operating Profit Qtr Cr,31.9,19.4,38.3,32.9,24.8,-3.4,27.1,14.9,-10.7,8.2,13.2
Operating Profit Margin Qtr %,12.92%,9.22%,16.81%,14.89%,12.20%,-1.77%,14.70%,9.74%,-10.60%,4.87%,7.56%
Depreciation Qtr Cr,28.4,28.5,28.2,28,27.9,27.9,28.1,27.6,27.2,24.7,24
Interest Qtr Cr,27.9,33.2,31.6,32.1,32.7,34.2,35.8,36.1,35.4,41.8,36.6
Profit Before Tax Qtr Cr,-5.1,-26.5,13.6,6.3,-2.3,-45.1,32.4,5.7,31.1,4.4,10.7
Tax Qtr Cr,2.6,-2.3,5,2.1,-0.6,-4,11.2,1.6,11.2,-3.7,-35.7
Net Profit Qtr Cr,-7.6,-24.2,8.6,4.2,-1.7,-41.1,21.2,4.2,19.9,8.1,46.4
Basic EPS Qtr Rs,-0.1,-0.3,0.1,0.1,0,-0.5,0.3,0.1,0.3,0.1,0.6
