Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Dec-2020
Total Revenue Qtr cr,2508.6,2301.2,1853.6,1733.4,2163.4,2247
Operating Expenses Qtr Cr,1990.3,1865.1,1563.6,1421.6,1787.8,1725.5
Operating Profit Qtr Cr,486.4,403,254.8,277.9,345.4,490.4
Operating Profit Margin Qtr %,19.64%,17.77%,14.01%,16.35%,16.19%,22.13%
Depreciation Qtr Cr,63.4,61.7,82.3,71,66.6,59.4
Interest Qtr Cr,26.9,27.3,29.7,31.1,38.8,27.8
Profit Before Tax Qtr Cr,428,347,174.8,209.8,270.2,434.3
Tax Qtr Cr,106.9,81.9,45.9,46.7,66.6,113.1
Net Profit Qtr Cr,321.1,265.2,129,163,203.6,321.3
Basic EPS Qtr Rs,33.2,27.4,13.3,16.9,21.1,33.1
