Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,249.7,229.7,209.5,207.2,172.2,190.8,168.4,156.4,133.1,114.7,139.5
Operating Expenses Qtr Cr,208.3,189.3,171.1,154.9,127.6,137.7,125.4,117.4,106.6,93.2,108
Operating Profit Qtr Cr,40.7,39.2,37.9,51,43.7,52.3,40.3,36.7,24.3,20.1,28.7
Operating Profit Margin Qtr %,16.33%,17.15%,18.11%,24.79%,25.52%,27.53%,24.31%,23.83%,18.56%,17.77%,20.98%
Depreciation Qtr Cr,8.6,8.6,8.6,8.5,7.8,7.2,10.5,5.7,5.5,5.6,5.5
Interest Qtr Cr,4.7,4.1,3,4.7,3.2,1.9,1.8,1.8,1.2,0.9,0.9
Profit Before Tax Qtr Cr,28,27.7,26.8,39,33.5,43.9,30.7,31.5,19.8,14.9,25.2
Tax Qtr Cr,7.1,7.4,7.2,9.8,7.6,12.4,8.5,6.4,3.4,4.9,5.7
Net Profit Qtr Cr,20.9,20.4,19.5,29.2,25.9,31.5,22.2,25.1,16.4,10,19.4
Basic EPS Qtr Rs,4.8,13.9,13.4,20,17.7,21.5,15.2,17.1,11.2,6.9,13.3
