Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,23.9,29.1,8.9,429.4,358.7,517.9,365.2,285.6,299.5,356.6,262.9
Operating Expenses Qtr Cr,20.2,24.1,5.3,295.4,250.6,427.8,269.7,156.6,188.9,206.5,154.2
Operating Profit Qtr Cr,3.2,4,3.5,133,103,75.9,92.8,127.2,109.7,146.7,107.5
Operating Profit Margin Qtr %,13.85%,14.34%,39.77%,31.05%,29.14%,15.06%,25.60%,44.81%,36.75%,41.53%,41.08%
Depreciation Qtr Cr,0.1,0.2,0.2,4.9,5,5.2,5.5,5.4,5.5,5.6,5.9
Interest Qtr Cr,24.8,27.9,19.4,171,156.1,230.7,175.2,209.1,275.6,105.5,290.1
Profit Before Tax Qtr Cr,-21.1,-40,-16.1,482.5,13.4,-402.1,-429.1,-215.5,-237.4,-782.5,-222.7
Tax Qtr Cr,0,58.7,0,0,0,0,-0.7,-1.3,-1.9,34.9,-2.9
Net Profit Qtr Cr,-21.1,-98.7,-706.2,482.5,13.4,-402.1,-428.4,-214.2,-235.4,-817.4,-219.7
Basic EPS Qtr Rs,0,-0.2,-1.2,0.8,0.1,-0.7,-0.1,-0.1,-0.3,-1.4,-0.3
