Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,757.2,810.9,818.5,1006.6,805.2,836.9,872.3,888.3,706.4,791,794.9
Operating Expenses Qtr Cr,581.5,618.5,611.3,717.1,622.8,638.5,651.6,674.4,534.3,601.8,654
Operating Profit Qtr Cr,147.9,173.4,196.7,274.4,150.7,168.8,206.8,205,114.3,174.1,124.7
Operating Profit Margin Qtr %,20.28%,21.90%,24.34%,27.67%,19.48%,20.91%,24.09%,23.31%,17.63%,22.44%,16.01%
Depreciation Qtr Cr,15.8,15.3,17.9,17.6,17.7,17.9,17.7,22,21.8,22.6,18.3
Interest Qtr Cr,0.7,0.3,0.6,0.3,0.8,0.6,0.9,0.9,1.1,1.5,3
Profit Before Tax Qtr Cr,159.2,206.2,170.8,271.5,163.9,60.9,212.5,127,149.3,176.4,-617.3
Tax Qtr Cr,43.6,262.1,33.2,68.8,43.5,48.2,55.2,50.5,38.3,38.5,26.8
Net Profit Qtr Cr,118.7,1217.8,149.6,202.7,120.4,12.7,157.3,76.5,111,137.9,-644.1
Basic EPS Qtr Rs,7,71.9,8.8,12,7.1,0.8,9.3,8.3,6.5,8.1,-38
