Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,626.9,567.5,516.9,522.5,451.8,520,462.1,445.4,256.4,371.7,409.9
Operating Expenses Qtr Cr,490.6,433.5,410.4,410.6,349.4,393.5,358.5,345.9,211.2,300.1,336.5
Operating Profit Qtr Cr,125.4,122.4,89.3,101.9,88.2,114,98.7,91.9,19.2,57.6,63.8
Operating Profit Margin Qtr %,20.36%,22.02%,17.87%,19.88%,20.15%,22.46%,21.59%,20.98%,8.36%,16.11%,15.93%
Depreciation Qtr Cr,12.8,12.7,12.4,12.8,13.4,13.2,13.3,13.3,12,13.7,13.9
Interest Qtr Cr,0.4,2,0.8,0.7,0.5,1,0.8,0.7,0.8,1.4,1
Profit Before Tax Qtr Cr,123.1,119.3,93.3,98.5,88.5,112.1,89.5,85.5,32.4,56.5,58.5
Tax Qtr Cr,31.5,30.6,23.1,25.2,22.7,29.1,22.7,21.9,4,11.8,14.2
Net Profit Qtr Cr,91.6,88.7,70.2,73.3,65.8,83.1,66.9,63.7,28.5,44.7,44.3
Basic EPS Qtr Rs,8.3,8,6.3,6.6,6,7.5,6,5.8,2.6,4,4
