Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1288.8,1275.2,1248.4,1166.5,1034.2,1678,1221.6,1000.2,834.3,901.8,1001
Operating Expenses Qtr Cr,1105.8,1041.4,1078.8,1005.7,857.3,1487.1,1054,879.1,752.4,818,898.1
Operating Profit Qtr Cr,167,214.1,159.2,146.1,167.7,189.4,157.2,110.1,75.9,80.2,100.6
Operating Profit Margin Qtr %,13.12%,17.05%,12.86%,12.69%,16.36%,11.30%,12.98%,11.13%,9.16%,8.93%,10.07%
Depreciation Qtr Cr,23.8,23.1,24.9,23.6,25.8,23.6,25.6,26.8,27.3,24.8,25.4
Interest Qtr Cr,3.8,1.8,2,1.3,0.6,2.1,1.1,1.2,1.4,2,1.8
Profit Before Tax Qtr Cr,155.4,209,142.7,135.9,150.5,165.2,141,93.1,53.2,57,75.8
Tax Qtr Cr,40.8,55.7,37.6,32.8,36.7,46.8,31.4,20.3,15.8,2.6,21.6
Net Profit Qtr Cr,114.6,153.3,105.1,103.2,113.8,118.4,109.5,72.9,37.3,54.5,54.2
Basic EPS Qtr Rs,5,6.7,4.6,4.5,5,5.2,4.8,6.4,3.3,4.8,4.7
