Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1285.5,1079.9,1001,998.2,865.6,805.9,629.3,623.5,583.7,735.6,545.3
Operating Expenses Qtr Cr,840.7,723.4,664.3,664.5,598.3,595.4,441.2,432.7,409.2,540.1,426.8
Operating Profit Qtr Cr,417.5,329.6,308.2,287.5,240.9,181.2,158.8,159,147.4,22,115.3
Operating Profit Margin Qtr %,33.18%,31.30%,31.69%,30.20%,28.70%,23.33%,26.46%,26.88%,26.48%,3.91%,21.28%
Depreciation Qtr Cr,50.6,48.3,47.6,46.5,45.8,46,46.7,46.4,45.5,45,43.6
Interest Qtr Cr,21.6,12.9,19.4,19.6,24.1,22.2,26.8,27.5,32.7,32.6,26.9
Profit Before Tax Qtr Cr,372.5,295.4,269.7,267.6,197.5,142.4,114.6,116.9,96.3,117.8,48
Tax Qtr Cr,94.7,74.4,68.9,61.6,51.1,41.4,6.3,38.3,29.4,89.2,15.1
Net Profit Qtr Cr,277.8,220.9,200.8,206,146.4,101,-474.7,78.6,66.9,28.6,33
Basic EPS Qtr Rs,25.3,20.1,18.3,18.8,13.3,9.2,-43.2,7.2,6.1,2.6,3
