Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,743.3,690.5,612,542.9,435.8,405.6,344.9,339.3,279.3,416.7,421
Operating Expenses Qtr Cr,537.9,516.2,441.3,375.6,341.3,385.2,320.9,364.8,244.6,871.9,388.9
Operating Profit Qtr Cr,184,156.9,156,141.9,72.4,-4.7,-1.3,-41.9,-11.3,-497.4,4.7
Operating Profit Margin Qtr %,25.49%,23.31%,26.11%,27.42%,17.50%,-1.23%,-0.40%,-12.97%,-4.85%,-132.84%,1.20%
Depreciation Qtr Cr,21,21.4,21.1,18.1,18.7,18.5,18.5,18.3,17.8,18.9,17.8
Interest Qtr Cr,4,1,4.2,1.1,1.2,1.1,1.3,3,6,8.6,8.7
Profit Before Tax Qtr Cr,180.3,151.9,145.5,148,74.6,0.8,4.3,-46.8,11,-482.6,5.5
Tax Qtr Cr,46.8,38.6,37,35,18.8,7.7,-0.4,-12.9,0.2,-116.6,-0.4
Net Profit Qtr Cr,133.6,113.2,108.5,113,55.8,-6.8,4.7,-33.9,10.8,-366,5.9
Basic EPS Qtr Rs,34.6,29.3,28.1,29.3,14.5,-1.8,1.2,-8.8,2.8,-94.8,1.5
