Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,11151,10889,10849,9963,9817,9499,9622,8839,8678,9215,8781
Operating Expenses Qtr Cr,7050,6808,6762,6142,5814,6236,5197,4919,4886,5478,5152
Operating Profit Qtr Cr,3767,3826,3900,3644,3742,3013,4207,3739,3476,3579,3502
Operating Profit Margin Qtr %,34.82%,35.98%,36.58%,37.24%,39.16%,32.58%,44.74%,43.19%,41.57%,39.52%,40.47%
Depreciation Qtr Cr,586,583,728,644,660,784,719,659,651,600,566
Interest Qtr Cr,27,26,28,25,30,20,64,27,66,67,72
Profit Before Tax Qtr Cr,3488,3472,3331,3152,3313,2459,3642,3234,3075,3070,2991
Tax Qtr Cr,810,469,694,590,641,2003,245,704,715,570,547
Net Profit Qtr Cr,2678,3003,2637,2562,2672,456,3397,2530,2360,2500,2444
Basic EPS Qtr Rs,9.9,11.1,9.7,9.4,9.8,1.7,12.5,9.3,8.7,9.2,9
