Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,8445.5,7561.5,8004.9,8610.3,5625.7,8773.4,9978.5,9508.7,3120,6407.9,7178.9
Operating Expenses Qtr Cr,7451.8,6594.2,6923.3,7387,4972.2,7474.8,8362.1,8080.9,2863.5,5578.5,5957.8
Operating Profit Qtr Cr,940.8,827.6,960,1066.4,514.8,1211.2,1413.6,1286.4,108,659.9,1039
Operating Profit Margin Qtr %,11.21%,11.15%,12.18%,12.61%,9.38%,13.94%,14.46%,13.73%,3.64%,10.58%,14.85%
Depreciation Qtr Cr,163,158.5,164.4,163.9,163,163.1,169.8,173.2,170.8,174.7,203.7
Interest Qtr Cr,7,6.7,6.5,6.5,6.1,6.3,4.7,4.6,6.3,4.1,5.9
Profit Before Tax Qtr Cr,823.8,802.2,910.7,1052.9,484.4,1129.1,1441.8,1250,79.5,650.6,1011.5
Tax Qtr Cr,199.3,175.2,224.6,258.5,118.9,264.1,357.4,296.5,18.2,29.9,131.1
Net Profit Qtr Cr,624.5,627,686.1,794.4,365.4,865,1084.5,953.5,61.3,620.7,880.4
Basic EPS Qtr Rs,31.2,31.4,34.3,39.8,18.3,43.3,54.3,47.7,3.1,31.1,44.1
