Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,169.3,156.1,151.7,146.1,142,135.5,110.5,109.6,133.5,105.8,120.7
Operating Expenses Qtr Cr,36.7,34.5,29.5,28.2,39.3,36.7,25.6,21.5,11.4,36.4,26.3
Operating Profit Qtr Cr,129,118.9,116.2,114.6,98.8,95.1,75.2,72.9,106.5,64.2,87.7
Operating Profit Margin Qtr %,76.19%,76.16%,76.64%,78.44%,71.53%,72.15%,69.51%,68.55%,81.50%,63.83%,76.38%
Depreciation Qtr Cr,2,1.9,1.9,1.9,1.9,1.8,1.9,1.9,2,2.1,1.9
Interest Qtr Cr,60.7,53.8,55.2,56.4,53.2,54.5,54.4,56.7,54.6,50.9,51.1
Profit Before Tax Qtr Cr,66.3,63.2,59.1,56.3,47.6,42.5,21.2,17.6,52.8,16.4,40.6
Tax Qtr Cr,15.1,3,13.2,11.4,12.5,11.2,5.3,3.2,14.1,3.9,10.6
Net Profit Qtr Cr,51.2,60.2,45.9,44.9,35.1,31.3,15.9,14.3,38.6,12.5,30.1
Basic EPS Qtr Rs,5.8,6.9,5.2,5.1,4,3.6,1.9,1.8,4.4,1.6,3.8
