Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,-1286.1,14012.1,9983.8,23459,17123.2,19897.4,28760.8,622.6,773.7,986.8,548.2
Operating Expenses Qtr Cr,-1586.5,13590.1,9458.8,22916.2,17481.2,19666.5,28411.2,291.7,434,804.3,244.4
Operating Profit Qtr Cr,-26.9,-620.3,349.4,244.5,-1262.5,-387.9,46.5,329.5,311,171.6,303.6
Operating Profit Margin Qtr %,1.67%,-4.77%,3.52%,1.06%,-7.79%,-2.01%,0.16%,52.96%,40.21%,17.39%,55.40%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,298.7,389.9,404.3,542.9,-350.1,228.3,345.2,329.9,311.2,171.7,303.8
Tax Qtr Cr,44.1,129.3,47.4,56.1,-30.1,109.6,45.2,26.7,23.6,-7.8,1.3
Net Profit Qtr Cr,155.7,184.7,310.6,444.6,-185.7,63.8,305.6,303.2,287.6,179.5,302.5
Basic EPS Qtr Rs,1.1,1.3,2.2,3.1,-1.3,0.4,2.1,2.1,2,1.2,2.1
