Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,11758.3,11405.2,11481.8,11440.4,11500.2,10647.9,11421.3,11669.1,11446.7,6334.4,6505.6
Operating Expenses Qtr Cr,2574.2,3090.3,2663.3,2773.9,2399,2529.9,2611.1,2760.8,2447.7,1141.1,1075
Operating Profit Qtr Cr,1959.8,1164.8,1731.9,1309.6,1595.2,804.4,1702.2,1383.2,1426.6,861.6,880.2
Operating Profit Margin Qtr %,19.30%,11.85%,17.45%,13.82%,16.58%,9.03%,16.98%,13.75%,14.10%,15.69%,16.10%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,5619.7,5577.2,5530.6,5391,5629.4,5569.6,5711.2,5913.3,6245.7,3490,3511.8
Profit Before Tax Qtr Cr,1345.5,823.7,794.9,728.3,857.3,795.9,784.6,710.8,614.2,-188.6,389.5
Tax Qtr Cr,132,-160.6,105.2,-360.8,-324.4,-913,270.4,298.6,245,29.1,142.4
Net Profit Qtr Cr,1213.4,984.2,689.7,1089.2,1181.7,1708.8,514.3,412.3,369.3,-217.7,247.2
Basic EPS Qtr Rs,9.7,7.9,5.5,8.8,10.4,15.1,4.5,3.6,3.3,-3.6,4.8
