Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1488.1,1182.7,1341.7,1438.9,1492.2,1060.8,1330.9,1312.8,1496.9,1018.1,1156.7
Operating Expenses Qtr Cr,1211.8,989.4,1017,1064.8,1084.6,824.3,966.4,937.6,897.3,812.1,873.6
Operating Profit Qtr Cr,257.4,179,311.5,359,394,216.6,348.8,360.2,588,192.7,265.4
Operating Profit Margin Qtr %,17.52%,15.32%,23.45%,25.21%,26.65%,20.81%,26.52%,27.75%,39.59%,19.18%,23.30%
Depreciation Qtr Cr,53.4,52.4,51.2,50.5,50,48.6,47.7,46.3,45.2,45.4,46.2
Interest Qtr Cr,6.8,3.2,1.3,1.5,1.3,2.3,1.6,1.8,2.5,3.5,3.8
Profit Before Tax Qtr Cr,216.1,137.6,272.2,322.1,356.4,185.7,315.3,327.1,551.9,157.2,233.1
Tax Qtr Cr,72.2,27.2,54.1,64.5,71.7,34.2,55.3,51.4,98.3,29.4,36.5
Net Profit Qtr Cr,143.8,110.4,218.2,257.6,284.7,151.5,260,275.7,453.6,127.8,196.6
Basic EPS Qtr Rs,5.7,4.3,8.6,20.3,22.4,11.9,20.5,21.8,35.9,10.1,15.6
