Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2188.7,2310.1,1966.8,1883.5,1661,2086.5,1790.4,1579.4,985.3,1504.5,1427.8
Operating Expenses Qtr Cr,1766.3,1886.3,1569.6,1506.5,1234.1,1613.4,1311.3,1140,749.7,1131.2,1126.4
Operating Profit Qtr Cr,400.1,382.7,370.8,329,399.6,439.1,448.8,410.7,215.3,346.3,277.7
Operating Profit Margin Qtr %,18.47%,16.87%,19.11%,17.93%,24.46%,21.39%,25.50%,26.48%,22.31%,23.44%,19.78%
Depreciation Qtr Cr,89.9,75.7,71.9,68.7,65.7,64.9,62.2,59.7,58,57.7,55.6
Interest Qtr Cr,61.7,68.9,65.3,59.1,56,52.9,59.3,53.7,57.2,57.2,56.1
Profit Before Tax Qtr Cr,270.7,149.2,260,249.2,305.2,188.5,357.6,326,120.4,80.3,189.7
Tax Qtr Cr,89.6,63,92.6,80.3,96.9,125.1,119.4,102.5,42.7,80.1,52.1
Net Profit Qtr Cr,181.1,86.3,167.3,168.8,208.3,63.3,238.3,223.5,77.7,0.2,137.6
Basic EPS Qtr Rs,23.4,11.2,21.7,21.9,26.9,8.2,30.8,28.9,10.1,0,17.8
