Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1558.4,1515.3,1209.8,1134.5,1248.4,1349.3,1213.5,1063.1,833.3,1083.7,1019.6
Operating Expenses Qtr Cr,1334,1221.4,1047,955.6,1015.5,1054.1,1001,858,681.8,859.2,853
Operating Profit Qtr Cr,217,276.2,146.4,162.6,216.1,267.9,191.8,186.7,143.3,202,151.9
Operating Profit Margin Qtr %,13.99%,18.44%,12.27%,14.54%,17.54%,20.26%,16.08%,17.87%,17.37%,19.04%,15.12%
Depreciation Qtr Cr,47.3,50.7,46.8,47,46,47.8,48.6,49.3,48.4,51,48.5
Interest Qtr Cr,24.7,21.9,25.1,23.7,25.6,29.9,36.7,38.1,37.8,42.5,42.8
Profit Before Tax Qtr Cr,152.4,197.9,91,108.1,161.3,186.5,127.2,117.6,65.3,131.1,75.3
Tax Qtr Cr,51.5,26.2,31.8,31.6,42.6,50,24.8,37,20.9,30.3,26.2
Net Profit Qtr Cr,100.9,171.7,59.2,76.5,118.7,136.5,102.3,80.6,44.4,100.8,49.2
Basic EPS Qtr Rs,8.6,14.6,5,6.5,10.1,11.6,8.7,6.8,3.8,8.6,4.2
