Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1452.8,1371,1041.8,966.1,681.7,913.5,760.7,654.9,482.7,748.8,840.7
Operating Expenses Qtr Cr,1070.6,1034.5,796,728.7,478.4,669,558.1,498.1,385.1,548.5,583.7
Operating Profit Qtr Cr,366.6,314.2,228.7,217.1,183.1,228.4,184.2,140.2,78.4,181.7,237.6
Operating Profit Margin Qtr %,25.51%,23.30%,22.32%,22.95%,27.68%,25.45%,24.81%,21.96%,16.92%,24.88%,28.92%
Depreciation Qtr Cr,58.7,53.9,38.5,38.9,37.8,38.5,39.1,39.3,36.7,34.6,38.4
Interest Qtr Cr,19.5,22.3,19.1,26.9,24.4,20.1,25.1,22.7,26.4,31,29.1
Profit Before Tax Qtr Cr,304.1,260.4,188.2,171.7,141.1,185.8,138.4,94.7,34.5,134.6,189.4
Tax Qtr Cr,99.2,95,58.3,53.5,43.4,57.1,37.9,26.8,9.5,43.3,57.1
Net Profit Qtr Cr,204.8,165.4,129.9,118.1,97.7,128.8,100.5,67.9,25.1,91.4,132.3
Basic EPS Qtr Rs,12.1,9.8,7.7,7,5.8,7.5,5.8,3.9,1.4,5.1,7.4
