Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1356.1,1219.1,1059.4,1078,802.1,913,806.4,852.4,420,724.8,695.6
Operating Expenses Qtr Cr,1030.2,950.2,804,756,579.8,692.4,590.6,672.5,335,639.6,572.4
Operating Profit Qtr Cr,282.8,258.3,231.5,308.3,185.6,209.4,205.1,170.2,78.5,78.2,113.8
Operating Profit Margin Qtr %,21.54%,21.37%,22.35%,28.97%,24.25%,23.22%,25.77%,20.20%,18.98%,10.90%,16.59%
Depreciation Qtr Cr,19.6,18.8,19.1,19,18.8,20.5,24.4,26.2,26.8,25.9,24.9
Interest Qtr Cr,5.3,1.9,3.9,4.8,2.8,4.2,4.8,4.6,4.9,7.1,9.2
Profit Before Tax Qtr Cr,300.9,248.3,232.3,298.2,200.7,195.9,186.6,149.1,53.3,52.1,89.1
Tax Qtr Cr,76.8,61.2,57.1,78.2,52.2,49.3,51,38.7,13.2,11.8,8.3
Net Profit Qtr Cr,224.1,187.1,175.2,220,148.5,146.6,135.6,110.3,40.1,40.3,80.8
Basic EPS Qtr Rs,6.5,5.4,5.1,6.4,21.6,21.3,19.7,16,5.8,5.9,11.4
