Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,23.1,270.7,21.6,26.7,31.5,125.1,21,20.6,24.7,412.8,42.9
Operating Expenses Qtr Cr,4.7,4.6,7.5,4.6,5.4,7.8,3.7,3.1,11.5,9.6,9.8
Operating Profit Qtr Cr,15.3,263,8.7,19.5,22.5,110.2,13.2,10.8,3.3,390.9,19.4
Operating Profit Margin Qtr %,76.51%,98.26%,53.38%,81.05%,80.72%,93.29%,77.37%,66.07%,16.75%,97.60%,66.45%
Depreciation Qtr Cr,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Interest Qtr Cr,2.1,1.6,15.8,27.7,28.4,38,47,49.6,58.5,61.3,52.3
Profit Before Tax Qtr Cr,16.2,264.3,-1.9,-5.7,-2.4,79.1,-30,-34.6,174.3,341.7,-19.3
Tax Qtr Cr,10.2,15.2,7.7,13.4,0,20.2,-2.4,6.5,48.4,1.9,6.2
Net Profit Qtr Cr,6,249.1,-9.5,-19,-2.4,58.9,-27.6,-41.1,125.9,339.8,-25.4
Basic EPS Qtr Rs,0,1,0,-0.1,0,0.3,-0.1,-0.2,0.6,1.7,-0.1
