Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1498.2,1380,939.8,1180.7,1228.2,1404.5,1280.8,1133.9,976.9,830.9,723
Operating Expenses Qtr Cr,1077.1,1004.8,717.2,842.4,857.5,936.3,857.5,759.2,705.8,636.4,569.9
Operating Profit Qtr Cr,418.2,372.9,215.4,333.8,363.1,462.4,414.8,368.1,264.6,192.8,151.1
Operating Profit Margin Qtr %,27.97%,27.07%,23.10%,28.38%,29.74%,33.06%,32.60%,32.65%,27.26%,23.25%,20.95%
Depreciation Qtr Cr,66,60.9,59.7,59.3,55.5,50.7,49.5,48.8,47.7,45.2,46.7
Interest Qtr Cr,27.5,29.3,20.9,20.6,25,21.1,16.9,13.4,14.6,20.3,20.4
Profit Before Tax Qtr Cr,327.6,285,141.9,258.4,290.1,396.4,356.9,312.5,208.8,128.9,85.9
Tax Qtr Cr,96,63.8,32.8,60.8,68,103.6,90,74.9,50.1,16.4,8
Net Profit Qtr Cr,231.6,221.2,109.2,197.6,222.1,292.8,267,237.6,158.8,112.5,78
Basic EPS Qtr Rs,4.3,4.1,2,3.7,4.1,5.5,5,4.4,14.8,10.5,7.3
