Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,598.6,548.2,665.6,517.9,537.5,445.6,477.9,381,251,393.8,414.6
Operating Expenses Qtr Cr,453.3,402.6,496.1,377,383,309.3,345.5,283.4,177,290.3,312.9
Operating Profit Qtr Cr,134.7,131.7,148.1,130.2,136.2,132.1,129.9,86.9,71.1,86.9,99.9
Operating Profit Margin Qtr %,22.91%,24.65%,22.99%,25.68%,26.23%,29.92%,27.33%,23.46%,28.65%,23.04%,24.20%
Depreciation Qtr Cr,45.8,45.7,46.3,45,45,45.1,47.2,43.1,41.7,43.9,49.2
Interest Qtr Cr,1.1,1.1,1,0.7,0.7,0.7,0.6,0.7,1.9,3,17.6
Profit Before Tax Qtr Cr,98.4,98.8,122.3,95.3,108.8,384.8,95.7,53.7,30.3,56.6,875.6
Tax Qtr Cr,-70.8,35,43.9,33,38.3,82.2,33.4,19,10.8,17.6,241.1
Net Profit Qtr Cr,169.2,63.9,78.4,62.4,70.5,302.6,62.3,34.7,19.5,39,634.5
Basic EPS Qtr Rs,19.8,7.5,9.2,7.3,8.3,35.5,7.3,4.1,2.3,4.6,74.4
