Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2739,2871.5,2767.5,2944.8,3338.8,2582,2824.7,3067.9,2729.1,2693.8,2802.7
Operating Expenses Qtr Cr,2443.8,2354.4,2523.8,4269.1,2349.2,2090.9,2395,2444.8,2099.8,2248.5,2317.1
Operating Profit Qtr Cr,288.7,501,208.2,-1399,964.9,425.1,407.4,597.8,595.3,235.4,398.8
Operating Profit Margin Qtr %,10.57%,17.55%,7.62%,-48.74%,29.12%,16.89%,14.54%,19.65%,22.09%,9.48%,14.68%
Depreciation Qtr Cr,130.3,131,127.9,129.9,125.4,125,127.1,125.6,125.1,124.8,132.2
Interest Qtr Cr,19.9,24.6,15.8,18.3,14.8,12.3,10.5,9.1,8.7,11.4,18.9
Profit Before Tax Qtr Cr,145,361.6,100,-1472.4,849.4,353.8,292.1,488.3,495.5,309.2,-45.5
Tax Qtr Cr,27.8,397.4,-430.5,-143.3,203.5,37.4,73.8,127.9,131.9,83.9,35.9
Net Profit Qtr Cr,117.2,-35.9,530.4,-1329.1,645.9,316.4,218.2,360.4,363.6,225.3,-81.5
Basic EPS Qtr Rs,2.6,-0.8,11.7,-29.3,14.2,7,4.8,8,8,5,-1.8
