Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,94.8,101,79.2,93.9,56.6,69.8,55.4,73.5,49.2,64.8
Operating Expenses Qtr Cr,66,70.9,55.3,61.9,39.6,39.1,37.7,49.2,37.3,47.1
Operating Profit Qtr Cr,25,27.7,22.8,29.4,14.5,30.1,17.5,24.1,11.4,14.5
Operating Profit Margin Qtr %,27.52%,28.11%,29.22%,32.24%,26.78%,43.47%,31.72%,32.85%,23.45%,23.57%
Depreciation Qtr Cr,4,3.8,3.7,3.5,3.3,3.2,3.3,3.1,3,2.9
Interest Qtr Cr,2.4,2.6,1.5,1.4,1.2,2.2,2,1.4,1.5,2
Profit Before Tax Qtr Cr,22.4,23.8,18.7,27.1,12.5,25.2,12.4,19.8,7.4,12.8
Tax Qtr Cr,6,4,5.4,8.1,3.8,7.2,3.6,5.9,2.1,3.9
Net Profit Qtr Cr,16.4,19.8,13.3,19.1,8.7,18,8.9,13.9,5.3,8.9
Basic EPS Qtr Rs,5.3,6.4,4.3,6.2,2.8,6.7,3.3,5.2,1.7,3.1
