Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1071.1,965.7,977.7,920.7,776.6,877,955,779.8,362.9,750.7,859.5
Operating Expenses Qtr Cr,1005.6,907.8,935.3,872.8,735.6,832,906.4,737.6,362,712.4,817.7
Operating Profit Qtr Cr,63.4,52.9,40.9,46.3,39.4,41.2,47.3,34.3,-1.9,34.7,40.3
Operating Profit Margin Qtr %,5.93%,5.51%,4.19%,5.04%,5.09%,4.72%,4.96%,4.44%,-0.51%,4.64%,4.70%
Depreciation Qtr Cr,38.4,36.4,34.7,31.9,27.4,24.6,22.5,19.1,16.6,20.2,16.9
Interest Qtr Cr,8.3,8,6.6,6,5.4,4.8,4.7,3.8,3.8,4.9,3.5
Profit Before Tax Qtr Cr,18.9,13.5,1.1,10,8.1,11.5,21.3,19.3,-19.5,13.2,21.4
Tax Qtr Cr,4.8,3.3,0.4,2.5,2.1,3,5.7,5.2,-5.2,3.5,5.7
Net Profit Qtr Cr,14.1,10.2,0.7,7.5,6,8.5,15.7,14.1,-14.2,9.7,15.8
Basic EPS Qtr Rs,1.9,1.4,0.1,1,0.8,1.2,2.2,2,-2,1.4,2.2
