Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,73.9,98.7,76.1,90,65.5,62.4,65.7,46.2,47.7,55.9,49.3
Operating Expenses Qtr Cr,61.3,63.3,53.3,53.8,52.5,51.2,40,41.8,36.7,37.8,38.9
Operating Profit Qtr Cr,9.1,5.2,14.3,7.3,7.1,7.7,5.6,0.3,3.9,2.6,-2.3
Operating Profit Margin Qtr %,12.92%,7.54%,21.16%,11.90%,11.94%,13.00%,12.24%,0.69%,9.70%,6.34%,-6.23%
Depreciation Qtr Cr,3.5,3.6,3.1,3,2.7,2.4,3.1,2.6,2.6,2.4,2.8
Interest Qtr Cr,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Profit Before Tax Qtr Cr,3.2,24.8,20.9,37.8,10.2,8.6,22.5,-5.4,8.3,15.2,3
Tax Qtr Cr,3.3,4.8,5.4,3.7,4.9,3,5.3,-1.1,10.2,3.1,0.1
Net Profit Qtr Cr,-0.1,20.1,15.5,34.1,5.3,5.5,17.1,-4.3,-1.9,12.1,2.9
Basic EPS Qtr Rs,0,6.7,5.2,13.1,2.1,2.2,6.9,-1.8,-0.8,5,1.2
