Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2509.3,2678.4,2871.8,2833.3,2714.9,2828.1,2776.5,2584.5,2385.4,2402.6,2313.2
Operating Expenses Qtr Cr,530.6,519.9,437.9,427,387.5,500.6,426.9,438.3,363.9,518.2,464.1
Operating Profit Qtr Cr,2030.9,2220,2341.3,2329.1,2292.6,2312.1,2279.4,2134.4,2006.6,1877.4,1781.9
Operating Profit Margin Qtr %,81.11%,83.15%,81.63%,82.29%,84.48%,81.88%,82.44%,82.62%,84.13%,78.21%,77.14%
Depreciation Qtr Cr,12.9,15.8,13.9,12.7,11.4,15.4,14.1,11.3,9.9,12.2,11
Interest Qtr Cr,941.6,920.8,953.3,979.4,982.2,951.3,945.5,924.1,871.5,770,693.8
Profit Before Tax Qtr Cr,1081.8,1291.8,1377.7,1339.8,1300.1,1349.6,1331.4,1200,1125.5,1097.4,1080.3
Tax Qtr Cr,279.8,331.5,348.8,345.8,329,354,340.1,305.6,284.7,282.2,276.9
Net Profit Qtr Cr,802,960.3,1028.9,994,971.2,995.7,991.4,894.4,840.8,815.1,803.4
Basic EPS Qtr Rs,20,23.9,25.6,24.8,24.2,24.8,24.7,22.3,21,20.3,20
