Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1412.7,1859.6,1548.4,1354.6,971.7,2043.4,1553.7,1046.5,476.6,1635.9,1305.1
Operating Expenses Qtr Cr,1317.2,1737.1,1452.7,1268,932.4,1938.5,1466.7,996.2,463.5,1571,1253.6
Operating Profit Qtr Cr,48.6,63.1,55.9,34.9,2.4,57.5,41.6,8.7,-27.1,18.4,11.9
Operating Profit Margin Qtr %,3.56%,3.51%,3.71%,2.68%,0.26%,2.88%,2.76%,0.87%,-6.22%,1.16%,0.94%
Depreciation Qtr Cr,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7
Interest Qtr Cr,1.4,1.4,1.4,1.4,1.4,2.5,1.4,1.4,1.3,1.3,1.3
Profit Before Tax Qtr Cr,-16.9,20.8,93.8,84.7,37.4,101.9,85,46.6,11,62.6,49.4
Tax Qtr Cr,-3.7,0.2,24.4,19.1,10.2,24.1,3.1,12.4,3.2,14.1,14.4
Net Profit Qtr Cr,-13.2,20.6,69.3,65.6,27.2,77.8,81.9,34.2,7.8,48.5,35
Basic EPS Qtr Rs,-0.1,0.1,0.4,0.4,0.1,0.4,0.5,0.2,0,0.3,0.2
