Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,110.8,103,103,90.5,85.7,85.5,100.7,78.1,91.4,131.2,128.7
Operating Expenses Qtr Cr,36.5,28.5,32.3,30.5,26.8,27.5,29.6,28.6,19.6,46.4,37.8
Operating Profit Qtr Cr,66.5,62.6,61,50.3,45.8,47.6,52.9,35.6,49.7,71.4,77.3
Operating Profit Margin Qtr %,64.54%,68.71%,65.36%,62.28%,63.06%,63.34%,64.08%,55.44%,71.72%,60.62%,67.15%
Depreciation Qtr Cr,7.7,8,6.7,7.1,6.5,6.2,6.4,6.6,6.5,4.9,7
Interest Qtr Cr,3.2,2.5,2.5,2.3,1.9,2.8,1.8,2.2,1.4,1.9,1.7
Profit Before Tax Qtr Cr,63.4,64,61.4,50.7,50.4,49,62.9,40.6,63.8,78.1,82.2
Tax Qtr Cr,9.7,10.5,12,6.7,8.1,9.3,13.9,8.2,12.4,25.2,13.1
Net Profit Qtr Cr,53.7,53.6,49.4,44,42.3,39.7,48.9,32.5,51.4,52.9,69.1
Basic EPS Qtr Rs,7.6,7.6,7,6.2,6,5.6,7,4.6,7.3,7.5,9.8
