Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3846.2,4492.1,3845.2,3634.6,2506.3,2874.5,2414.9,2399.1,1413.9,2042.3,2136.6
Operating Expenses Qtr Cr,2914.7,2722.2,2582.7,2464.9,1893.8,1877.5,1944.9,2099,1251.6,1727.5,2054
Operating Profit Qtr Cr,868.7,1618.6,1190.5,1127.3,580.8,944,433.9,275.9,129.1,208.4,34.3
Operating Profit Margin Qtr %,22.96%,37.29%,31.55%,31.38%,23.47%,33.46%,18.24%,11.62%,9.35%,10.76%,1.64%
Depreciation Qtr Cr,149.7,384.2,151.5,151.8,149.1,157.1,169.7,143.2,135.9,135.1,134.1
Interest Qtr Cr,3.9,17.6,1.9,1.8,1.8,1.7,1.7,1.8,1.8,0.8,1.6
Profit Before Tax Qtr Cr,778,1368.1,1109.1,1016.1,461.6,838.2,298.6,155,24.7,178.9,-53.2
Tax Qtr Cr,199.4,342.4,278.3,278.3,113.9,-97.4,58.8,47.5,8,76.2,-19.3
Net Profit Qtr Cr,578.6,1025.7,830.9,737.8,347.7,935.6,239.8,107.5,16.6,102.8,-34
Basic EPS Qtr Rs,3.1,5.6,4.5,4.1,1.9,5,1.3,0.6,0.1,0.6,-0.2
