Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,2155.8,2378.2,1786.8,1652.2,1645.9,1987,3037.7,14,850
Operating Expenses Qtr Cr,1883.1,2061.3,1585.3,1378.1,1284.5,1586.2,2369.4,10.8,718.6
Operating Profit Qtr Cr,238.6,283.3,166.7,244.5,338.6,372.6,621.8,3,122.9
Operating Profit Margin Qtr %,11.24%,12.08%,9.51%,15.07%,20.86%,19.02%,20.79%,21.84%,14.60%
Depreciation Qtr Cr,169.3,179.3,162,164.1,146.1,155.9,297.3,1.4,132.7
Interest Qtr Cr,79.9,93.6,95.7,102.4,109.5,113,261.3,1.3,141.3
Profit Before Tax Qtr Cr,23.6,44,-56.1,7.5,105.8,131.8,109.8,0.5,-142.7
Tax Qtr Cr,7.9,27.3,-19.9,2,36.7,98.9,28.9,0.2,-51.3
Net Profit Qtr Cr,15.7,16.7,-36.2,5.6,69.1,32.9,80.9,0.3,-91.4
Basic EPS Qtr Rs,0.4,0.5,-1,0.2,2,1,2.6,1.2,-3.6
