Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,14405.6,11245.6,12669.1,10894.7,8666.4,7624.5,7439.3,6395.3,4951.9,8653.6,8994.4
Operating Expenses Qtr Cr,13199.4,9991.3,10865.1,9516.2,7543.6,6484.2,5992.9,4872.6,3973.6,7869.6,7802.7
Operating Profit Qtr Cr,1064.4,1169.1,1732.2,1296.8,1054.3,1091.1,1335.3,1363.2,909.9,697.5,1107.6
Operating Profit Margin Qtr %,7.46%,10.48%,13.75%,11.99%,12.26%,14.40%,18.22%,21.86%,18.63%,8.14%,12.43%
Depreciation Qtr Cr,191.2,189.6,193.6,193.6,191.6,202.8,192.5,195.2,193.6,194.2,196
Interest Qtr Cr,77.8,80.3,77.6,79.4,80,81.3,81.5,85,88.1,103.5,94
Profit Before Tax Qtr Cr,937.1,984.4,1532.8,1105.5,851.2,856.1,1172.4,1242.6,696.6,486.2,901.7
Tax Qtr Cr,236.2,234.2,389.3,282.4,215.5,232.8,293.9,315.3,176.4,127.2,226.5
Net Profit Qtr Cr,700.9,750.1,1143.5,823,635.7,623.4,878.5,927.3,520.2,359,675.2
Basic EPS Qtr Rs,4.7,5,7.6,5.5,4.2,4.2,5.9,6.2,3.5,2.4,4.5
