Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,243.6,253.4,227.2,224.2,213.2,209.9,198.8,193.8,164.1,164.6,175.4
Operating Expenses Qtr Cr,190.8,187.6,169.2,161.5,149,149.6,137.6,136.2,115.7,121.2,126.6
Operating Profit Qtr Cr,48.2,56.9,50.9,50.5,54,52.9,56.4,54,45,38,44.8
Operating Profit Margin Qtr %,20.17%,23.26%,23.13%,23.81%,26.59%,26.13%,29.07%,28.41%,27.99%,23.87%,26.17%
Depreciation Qtr Cr,13.6,13.5,13.3,13.2,12.6,12.2,12.3,11.1,10.7,9.1,10.5
Interest Qtr Cr,1.1,1.3,-0.7,0,3,-2,4.6,2.6,2.6,7.9,5.2
Profit Before Tax Qtr Cr,38.1,51,45.5,49.5,48.6,50.1,44.3,43.9,35.1,26.4,33.2
Tax Qtr Cr,9.3,12.6,11.3,12.2,12.6,13,10.8,10.6,9.5,5.8,8.6
Net Profit Qtr Cr,28.8,38.4,34.2,37.3,36,37.1,33.5,33.2,25.6,20.6,24.6
Basic EPS Qtr Rs,3,4,3.6,3.9,3.8,4.1,3.8,3.8,2.9,2.3,2.8
