Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2743.1,3943.7,3362.8,3016,1865.9,2924.6,2779.9,2125,1026.5,2170.5,2504.1
Operating Expenses Qtr Cr,2396.9,3460.2,2985.8,2701,1711,2511.8,2399.4,1798,936.3,1826.2,2171.2
Operating Profit Qtr Cr,301.9,466.4,355.7,289.2,128.7,390.2,347.9,296.9,55.9,297.5,332.3
Operating Profit Margin Qtr %,11.18%,11.88%,10.64%,9.67%,7.00%,13.45%,12.66%,14.17%,5.63%,14.01%,13.27%
Depreciation Qtr Cr,49.3,48.5,49.9,49.5,48.7,45.4,44.4,42.2,41.9,41.7,40.2
Interest Qtr Cr,8,12,7.4,4.6,9.4,12.8,6.2,8.9,13.3,15.5,8.1
Profit Before Tax Qtr Cr,288.8,423,444,260.9,96.9,354.7,330,275.9,34.9,287,284.6
Tax Qtr Cr,70.4,102.8,106,62.9,21.9,91.8,85.9,63.8,-77.3,67.9,68.4
Net Profit Qtr Cr,218.4,320.2,338,198,75.1,262.8,244.1,212.1,112.3,219.1,216.2
Basic EPS Qtr Rs,14.6,21.4,22.6,13.3,5,17.6,16.4,14.2,7.5,14.7,14.6
