Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2835,2761.2,2709.6,2275.6,2143.7,2115.9,1915.2,1782.6,1700.1,2186.2,2098.8
Operating Expenses Qtr Cr,2764.8,2647.8,2579.7,2272.2,2071.8,2179.5,1867.7,1726.1,1642.9,2084.2,2003.8
Operating Profit Qtr Cr,67.5,74.8,57.4,1.7,53.2,-65.8,39.4,40.5,53.1,95.2,85.9
Operating Profit Margin Qtr %,2.38%,2.75%,2.18%,0.07%,2.50%,-3.11%,2.07%,2.29%,3.13%,4.37%,4.11%
Depreciation Qtr Cr,13.3,13.7,13.7,10.1,10.7,11.5,12.6,13.7,14.7,14.9,17.1
Interest Qtr Cr,10.6,11,11.9,12.1,12.8,10.2,11.5,18.3,23.5,23.3,22.4
Profit Before Tax Qtr Cr,46.3,66.8,104.4,-38.9,48.4,-85.3,23.4,24.5,7.7,-462.4,55.5
Tax Qtr Cr,-0.9,13.9,17.8,-2.6,6.7,19.8,21.6,21.1,7.6,45.5,-7.4
Net Profit Qtr Cr,47.2,52.9,86.5,-36.4,41.7,-105.1,1.8,3.4,0.1,-507.9,62.9
Basic EPS Qtr Rs,3.2,3.6,5.9,-2.5,2.8,-7.1,0.1,0.2,0,-34.4,4.3
