Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3188.2,3226.4,3308.4,710.6,608.3,706.6,686.8,633.8,411,587.5,649.7
Operating Expenses Qtr Cr,3091.3,3144.8,3187.7,597.4,510.7,593.4,559.7,522.8,333.4,503.1,545.4
Operating Profit Qtr Cr,92.5,79.6,119,111.5,92.1,101.4,124.6,107.2,75.8,82.3,102.5
Operating Profit Margin Qtr %,2.91%,2.47%,3.60%,15.72%,15.28%,14.59%,18.20%,17.02%,18.53%,14.06%,15.82%
Depreciation Qtr Cr,16.7,16.4,16.9,16.2,15.4,14.2,13.6,13.3,12.9,13.4,13.1
Interest Qtr Cr,3,2.3,3.1,3.1,4.6,4.6,5.4,5.4,6.6,8.5,8.1
Profit Before Tax Qtr Cr,77.2,62.9,100.6,94,77.6,94.4,108.2,92.3,58.2,54.1,74.5
Tax Qtr Cr,18.9,16.6,23.9,24.8,17.8,20.9,27.6,19.9,14.1,15.6,18.8
Net Profit Qtr Cr,58.3,46.4,76.7,69.3,59.8,73.5,80.5,72.4,44.1,38.4,55.7
Basic EPS Qtr Rs,4.4,3.8,5.7,5.2,4.5,5.5,6,5.4,3.3,2.9,4.2
