Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1298.8,1671.3,1576.2,1528.3,1472.5,1133.9,443.1,317.4,174.5,11543.8,11311.7
Operating Expenses Qtr Cr,1267.4,1787.2,1521.3,1476.3,1432.3,1097.9,408.6,293.7,163.9,11479.6,11182.5
Operating Profit Qtr Cr,30.7,-126.4,54.9,50.9,40.1,35.8,34,23.5,10.4,62.6,128.9
Operating Profit Margin Qtr %,2.37%,-7.61%,3.48%,3.33%,2.72%,3.16%,7.68%,7.41%,5.96%,0.54%,1.14%
Depreciation Qtr Cr,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,-0.1,0.4
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,31.2,-116.1,54.6,51.8,40,35.9,34.2,23.5,10.2,64.2,128.9
Tax Qtr Cr,0,8.4,0,0,0,4.3,0,0,0,-6,13
Net Profit Qtr Cr,31.2,-124.5,54.6,51.8,40,31.6,34.2,23.5,10.2,70.2,115.8
Basic EPS Qtr Rs,1.1,-4.2,1.9,1.8,1.4,1.1,1.2,0.8,0.3,2.4,3.9
