Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,985.4,983.8,937.7,720.9,533.9,704.8,454.4,590.9,590.8,643.4,771
Operating Expenses Qtr Cr,845.9,805.4,797.3,600.4,441.4,537.2,360.9,495.1,504.4,533.1,647.7
Operating Profit Qtr Cr,130.9,168.7,129.7,111.3,84.6,158.8,79.9,81.8,73.6,96,108.4
Operating Profit Margin Qtr %,13.40%,17.32%,13.99%,15.64%,16.08%,22.82%,18.12%,14.18%,12.74%,15.26%,14.34%
Depreciation Qtr Cr,19,23.1,19,18.9,19.2,15,13.4,14.2,14.3,14.6,15.2
Interest Qtr Cr,4.8,6.4,3.8,5.4,5.4,5.8,6,5.8,5.3,5.6,5.9
Profit Before Tax Qtr Cr,115.6,148.9,117.7,96.2,67.8,146.7,74.1,75.8,66.7,90.1,102.3
Tax Qtr Cr,28.8,37.3,28.6,24.7,17.6,37.3,14,19.1,17,22.8,1.3
Net Profit Qtr Cr,86.8,111.6,89.1,71.5,50.2,109.4,60.1,56.7,49.7,67.3,101
Basic EPS Qtr Rs,12.4,23.9,19.1,15.3,10.8,23.4,12.9,12.1,10.6,14.4,21.6
