Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,73.5,83.2,289.6,295,250.1,194.8,179.9,270.2,219.3,200.9,219.4
Operating Expenses Qtr Cr,56.3,74.4,220.1,221.9,200,142.4,140.6,181.3,139.1,148.7,140.1
Operating Profit Qtr Cr,4.5,-1.5,56.5,63.9,40.3,37.3,30.7,81.4,77.6,49.3,76.8
Operating Profit Margin Qtr %,7.40%,-2.12%,20.44%,22.36%,16.79%,20.78%,17.92%,30.98%,35.81%,24.90%,35.41%
Depreciation Qtr Cr,10.4,10.3,14.6,13.1,11.7,10.6,10.5,9.8,9.9,9.2,9.5
Interest Qtr Cr,2.7,1.7,6.6,7.8,7,6.6,3.9,3.3,3.5,1.3,1.1
Profit Before Tax Qtr Cr,4.1,-3.3,48.3,61,31.5,35.2,24.9,75.7,119.7,37.3,68.7
Tax Qtr Cr,0.2,-0.4,11.6,17.4,6.3,8.6,8,20.9,33.6,11.9,12.1
Net Profit Qtr Cr,108.1,35.5,36.8,43.6,25.1,26.6,16.9,54.8,86.1,57.9,56.6
Basic EPS Qtr Rs,12.4,4.1,4.4,5.3,3.1,3.3,2.1,6.7,10.6,7.1,6.9
