Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1500.4,1364.3,1456.2,1229.7,1048.5,900.7,872.8,876.9,1178.4,1391.8,1281.6
Operating Expenses Qtr Cr,1167.7,987.1,965.8,822.1,692.2,651.9,615.6,639.3,638.2,1010,729.6
Operating Profit Qtr Cr,297.3,327,472.4,399.2,335.6,223.5,225.7,203.9,505.2,303.9,528
Operating Profit Margin Qtr %,20.29%,24.88%,32.85%,32.69%,32.65%,25.53%,26.82%,24.18%,44.18%,23.13%,41.98%
Depreciation Qtr Cr,172.2,160,158.9,161.4,155.1,153.8,156.4,159,158.8,164.1,169.9
Interest Qtr Cr,49.9,76.1,16.9,13.1,51.7,32.6,-6.6,-54.8,49.8,110.3,79.2
Profit Before Tax Qtr Cr,110.7,141,314.6,233.1,149.5,62.4,107.4,133.4,331.6,107.5,302.9
Tax Qtr Cr,12.1,10.3,24.3,5,3.8,-3.8,4.1,2.2,14.1,-6.2,18.4
Net Profit Qtr Cr,98.6,130.7,290.3,228,145.7,66.2,103.3,131.1,317.5,113.8,284.5
Basic EPS Qtr Rs,2.1,2.8,6.2,4.9,3.1,1.4,2.2,2.8,6.8,2.4,6.1
