Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4181.1,4236.9,3661.9,3355.8,3588.7,4055.2,3416.2,3124.8,2450.2,3315.3,2913.3
Operating Expenses Qtr Cr,3383.9,3188.2,2726.2,2307.7,2436,2753.7,2220.5,2034.3,1625.2,2138.7,1999
Operating Profit Qtr Cr,818.8,910.6,825.5,898.2,1013.5,1177.2,1089,988,700.6,1078.9,849.3
Operating Profit Margin Qtr %,19.48%,22.22%,23.24%,28.02%,29.38%,29.95%,32.90%,32.69%,30.12%,33.53%,29.82%
Depreciation Qtr Cr,327.9,301.3,252.1,250.5,232.5,299.3,290.6,278.6,271.4,436.2,432.2
Interest Qtr Cr,57.3,53.5,55.1,55.6,53.5,55.3,58.5,62.7,70.6,72.6,74.1
Profit Before Tax Qtr Cr,412,693.8,628.4,742,866.7,946.9,846.6,749,483.1,667.8,407.9
Tax Qtr Cr,96.4,48.6,136.4,164.3,204.9,179.3,220.4,201.8,112.3,79.7,98
Net Profit Qtr Cr,315.6,645.2,492,577.7,661.7,767.6,626.2,547.2,370.8,588.1,309.9
Basic EPS Qtr Rs,87.5,178.8,136.4,160.1,183.4,212.8,173.6,151.7,102.8,163,87.7
