Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3989.4,3692.3,3297,4061.3,2754.3,3408.3,2958.1,3580.4,1401.7,2900.7,2754.1
Operating Expenses Qtr Cr,3535.8,3183.1,2908,3571,2479.7,2912.9,2540,3066.1,1329.1,2586.5,2332.1
Operating Profit Qtr Cr,379,445.4,331.9,428.7,228.3,441.4,361.1,452.9,-9.6,233.6,336.5
Operating Profit Margin Qtr %,9.68%,12.28%,10.24%,10.72%,8.43%,13.16%,12.45%,12.87%,-0.73%,8.28%,12.61%
Depreciation Qtr Cr,51.9,53.5,53.8,54,54.5,58.1,61.6,63,72.2,70.8,61.1
Interest Qtr Cr,3.7,10.9,5.4,5.9,5.6,4.7,3.5,5.8,4.9,11.1,7.7
Profit Before Tax Qtr Cr,398,444.8,329.8,430.4,214.5,432.6,353,445.5,-4.5,232.3,353.2
Tax Qtr Cr,102.5,115.9,84.5,107.4,53,116.8,90.8,112.4,0.1,60.2,90.5
Net Profit Qtr Cr,293.7,328.9,245.3,323,161.5,328.3,290,327.6,-4.6,172.1,262.7
Basic EPS Qtr Rs,8.2,9.2,6.9,9.1,4.5,9.2,8.1,9.2,-0.1,4.8,7.4
