Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,285.1,208.5,229.8,253.2,230.9,208,226.6,210.9,180.7,277.2,242.4
Operating Expenses Qtr Cr,178,161,157.6,147.7,149.6,148.7,135.8,134.7,128,180.5,168.6
Operating Profit Qtr Cr,40.5,33.3,28.3,41.4,39.3,48.4,57.2,74.4,54.1,41.3,61.6
Operating Profit Margin Qtr %,18.53%,17.15%,15.23%,21.89%,20.79%,24.54%,29.65%,35.57%,29.71%,18.63%,26.77%
Depreciation Qtr Cr,4.4,4.4,4.3,4.2,4.6,4.6,4.7,4.8,4.8,5.3,5.2
Interest Qtr Cr,1.9,2,2.2,2.1,2.5,2.4,2.4,2.4,2.5,2.9,2.6
Profit Before Tax Qtr Cr,100.8,41.1,65.8,99.1,74.2,52.3,83.7,69,45.3,88.6,66.1
Tax Qtr Cr,11.1,9.5,9.5,11.8,14.3,13.2,29.4,16.8,11.9,9.5,16.9
Net Profit Qtr Cr,89.7,31.6,56.2,87.4,59.9,39.1,54.3,52.1,33.5,79.1,49.1
Basic EPS Qtr Rs,8.6,3,5.4,8.4,5.8,3.8,5.2,5,3.2,7.6,4.7
