Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020
Total Revenue Qtr cr,2892.9,2802.2,2711,2709.2,-3712,786.7,1531.1
Operating Expenses Qtr Cr,2604.8,2917.9,3477,2941.3,-3485.6,2030.6,1847.7
Operating Profit Qtr Cr,286.2,-116.9,-768.3,-239.2,-280.3,-1278.4,-314.9
Operating Profit Margin Qtr %,9.90%,-4.17%,-28.34%,-8.85%,7.55%,-162.51%,-20.55%
Depreciation Qtr Cr,0,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,288,-115.8,-768.2,-232.3,-280.3,-1278.4,-316.6
Tax Qtr Cr,74.7,-33.7,-189.9,-61.9,-70.5,-321.5,-74.7
Net Profit Qtr Cr,213.2,-82,-578.4,-170.5,-209.8,-956.9,-241.9
Basic EPS Qtr Rs,3.7,-1.4,-10.3,-3.1,-3.6,-18.3,-4.9
