Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1282,1350.3,1321.1,1278.5,1130.6,1338.5,1199.4,909,752.8,1049.2,1118.3
Operating Expenses Qtr Cr,1163,1271.7,1354.6,1051.3,916.1,1078.3,995.4,740,615.5,854.3,872.7
Operating Profit Qtr Cr,107,57.1,-53.3,217.2,206.4,225.9,197.9,159.4,129.7,186.3,238.8
Operating Profit Margin Qtr %,8.43%,4.30%,-4.10%,17.12%,18.39%,17.32%,16.58%,17.72%,17.40%,17.90%,21.48%
Depreciation Qtr Cr,54,54.6,50.5,54.3,49.9,49.3,49.8,58.2,57.9,59.3,56.3
Interest Qtr Cr,61,62.7,59.7,50.5,46.2,53.6,45.7,44.1,46.3,52.2,52.4
Profit Before Tax Qtr Cr,4,-38.7,-143.8,122.4,171.1,157.3,108.5,66.8,33.1,83.4,86.2
Tax Qtr Cr,2,-6,-36.3,31.8,39.9,48.1,29.1,17.9,9.2,12.3,21.4
Net Profit Qtr Cr,2,-32.6,-107.5,90.6,131.3,109.2,79.4,49,23.9,71.1,64.8
Basic EPS Qtr Rs,0.1,-0.8,-2.7,2.3,3.3,2.8,2,1.2,0.6,1.8,1.6
