Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,430.7,540.5,447.1,597.4,517.5,656.9,437.3,422.9,424.7,469,382.1
Operating Expenses Qtr Cr,484.2,437.8,435.9,528,500.6,545.6,367.7,365.1,379,379.8,327.6
Operating Profit Qtr Cr,-61,17.8,3.6,47,8.2,88,53.4,19.2,30.3,62,36.9
Operating Profit Margin Qtr %,-14.42%,3.91%,0.83%,8.17%,1.61%,13.89%,12.69%,5.01%,7.41%,14.03%,10.11%
Depreciation Qtr Cr,24.3,24.4,26.2,27.1,26.6,24.7,25.2,24.2,23.8,23.1,22.6
Interest Qtr Cr,26,21.5,16.6,18,18.1,17.9,17.1,14.4,15.8,18.3,16.4
Profit Before Tax Qtr Cr,-103.9,56.7,-31.7,24.3,-27.8,68.7,27.4,19.2,6.1,47.8,15.5
Tax Qtr Cr,-37.6,-143.8,-14.1,5.8,-6.6,20.6,6.9,5.5,2,21.4,1.9
Net Profit Qtr Cr,-66.3,200.5,-17.6,18.5,-21.2,48.1,20.5,13.7,4.2,26.4,13.7
Basic EPS Qtr Rs,-7.4,22.3,-2,2.1,-2.4,5.4,2.3,1.5,0.5,2.9,1.5
