Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4981.9,4307.3,4075.9,4427.4,3383.8,3194.5,3409,3365.7,2984.2,4054.7,3028.9
Operating Expenses Qtr Cr,3483.2,3007,3114.3,3278.9,2694.5,2479.4,2641.8,2505,2241,2607.5,2307.7
Operating Profit Qtr Cr,1449.7,999.8,656.4,864.3,631.5,680.2,746.2,787.5,722,228.5,705.8
Operating Profit Margin Qtr %,29.39%,24.95%,17.41%,20.86%,18.99%,21.53%,22.03%,23.92%,24.37%,8.06%,23.42%
Depreciation Qtr Cr,374.5,354.1,355.2,333.6,150.9,151.8,146.9,145.4,142.8,142.4,144.4
Interest Qtr Cr,87.1,91.2,85.5,104,105.7,102.7,71.9,13.4,68.9,137.5,98.8
Profit Before Tax Qtr Cr,1037.1,-800,520.9,710.9,432.6,371.1,548.4,701.9,531.5,1167.2,478
Tax Qtr Cr,25.3,486.2,5.5,-98.2,13.3,43.7,-7.2,-22.9,-0.4,11.4,9.2
Net Profit Qtr Cr,1011.8,-1286.2,515.4,809.1,419.3,327.4,555.5,724.8,532,1155.8,468.8
Basic EPS Qtr Rs,4.2,-5.4,2.1,3.4,1.8,1.4,2.3,3,2.2,4.8,1.9
