Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,42.9,61.1,68.4,52.6,49.8,69.1,116.9,125,27.6,78.5,111.8
Operating Expenses Qtr Cr,28.3,41.4,53,35.9,37.9,54.8,82.5,85.8,18.5,69.9,54.2
Operating Profit Qtr Cr,12.5,13.6,15.3,12.9,9.6,10,32,20.6,5.1,5.8,37
Operating Profit Margin Qtr %,30.69%,24.78%,22.35%,26.42%,20.18%,15.39%,27.97%,19.37%,21.81%,7.64%,40.52%
Depreciation Qtr Cr,1.1,1.1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.6
Interest Qtr Cr,12.9,12.6,12.4,10.7,10,11.1,10.6,9.8,7.8,8.1,8.4
Profit Before Tax Qtr Cr,0.6,6.1,2.1,5.1,1.2,-3.8,23.1,28.7,0.6,-0.2,48.6
Tax Qtr Cr,-0,0.9,0.3,0.4,-0.1,-0.3,6.2,0,0.8,-0.2,0.1
Net Profit Qtr Cr,0.6,5.1,1.8,4.6,1.3,-3.4,16.9,28.7,-0.2,-0,48.4
Basic EPS Qtr Rs,0,0.3,0.1,0.3,0.1,-0.2,1.1,1.9,0,0,3.3
