Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,292.4,300.3,289,275.8,224.6,282.9,264.2,214.4,90.2,239.1,269.2
Operating Expenses Qtr Cr,247.7,248,239.7,228.2,190.8,225.4,217.2,180.4,86.7,211.3,234.1
Operating Profit Qtr Cr,42.8,50.2,47.2,45.3,32.1,54.4,45.4,32.6,2,26.7,34.3
Operating Profit Margin Qtr %,14.73%,16.84%,16.45%,16.55%,14.39%,19.44%,17.28%,15.29%,2.29%,11.21%,12.78%
Depreciation Qtr Cr,3.3,3.2,2.2,2.4,2.2,2.5,2.2,2.2,2.1,2.1,2.1
Interest Qtr Cr,0.3,0.3,0.2,0.3,0.1,0.2,0.2,0.3,0.1,0.3,0.1
Profit Before Tax Qtr Cr,41.1,48.9,46.8,45,31.4,54.7,44.7,31.5,1.3,25.5,32.9
Tax Qtr Cr,10.1,12.9,11.7,10.9,7.6,12.2,11.1,8.1,0.3,6.5,7.3
Net Profit Qtr Cr,31,35.9,35.1,34,23.8,42.6,33.6,23.5,0.9,19,25.5
Basic EPS Qtr Rs,8.1,9.2,9.1,8.8,6.2,11.1,8.6,6.1,0.2,5,6.7
